source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
baseline,20,round_20_mimo.log,256,2037,48,BN256-standard,544.2,564.8,574.0,282.6,1957.0
baseline,20,round_20_mimo.log,512,4097,48,BN256-standard,1024.0,1046.9,1055.0,302.1,1085.0
baseline,20,round_20_mimo.log,1024,8140,48,BN256-standard,1535.0,1557.1,1565.0,400.4,783.0
baseline,20,round_20_mimo.log,2048,16409,48,BN128-split,2852.0,2875.8,2885.0,434.4,487.0
baseline,20,round_20_mimo.log,4096,32686,48,BN128-split,5431.0,5453.6,5464.0,454.4,323.0
baseline,20,round_20_mimo.log,8192,65538,48,BN128-split,10157.0,10187.5,10195.0,487.1,246.0
baseline,21,round_21_mimo.log,8,64,39,BN256-standard,489.6,492.0,498.1,9.9,1694.0
baseline,21,round_21_mimo.log,16,118,45,BN256-standard,569.0,572.9,579.9,15.7,1684.0
baseline,21,round_21_mimo.log,32,241,48,BN256-standard,581.8,583.8,590.3,31.3,1761.0
baseline,21,round_21_mimo.log,64,546,48,BN256-standard,535.9,538.2,541.7,76.9,1925.0
baseline,21,round_21_mimo.log,128,984,48,BN256-standard,578.6,573.6,583.6,128.4,1800.0
baseline,21,round_21_mimo.log,256,2037,48,BN256-standard,569.3,567.7,575.8,270.1,1871.0
baseline,21,round_21_mimo.log,512,4097,48,BN256-standard,1041.0,1047.6,1058.0,297.1,1068.0
baseline,21,round_21_mimo.log,1024,8140,48,BN256-standard,1542.0,1539.9,1546.0,398.5,780.0
baseline,21,round_21_mimo.log,2048,16409,48,BN128-split,2888.0,2881.4,2888.0,429.0,481.0
baseline,21,round_21_mimo.log,4096,32686,48,BN128-split,5466.0,5462.1,5471.0,451.5,321.0
baseline,21,round_21_mimo.log,8192,65538,48,BN128-split,10217.0,10208.5,10223.0,484.3,244.0
baseline,22,round_22_mimo.log,8,64,39,BN256-standard,495.4,492.0,495.4,9.8,1674.0
baseline,22,round_22_mimo.log,16,118,45,BN256-standard,558.7,559.5,564.3,15.9,1715.0
baseline,22,round_22_mimo.log,32,241,48,BN256-standard,560.1,561.3,564.5,32.5,1830.0
baseline,22,round_22_mimo.log,64,546,48,BN256-standard,628.8,628.9,649.3,65.6,1641.0
baseline,22,round_22_mimo.log,128,984,48,BN256-standard,600.3,614.9,628.1,123.7,1735.0
baseline,22,round_22_mimo.log,256,2037,48,BN256-standard,554.1,578.2,588.2,277.5,1922.0
baseline,22,round_22_mimo.log,512,4097,48,BN256-standard,1014.0,1037.1,1045.0,305.0,1096.0
baseline,22,round_22_mimo.log,1024,8140,48,BN256-standard,1530.0,1557.6,1563.0,401.7,786.0
baseline,22,round_22_mimo.log,2048,16409,48,BN128-split,2846.0,2868.6,2876.0,435.3,488.0
baseline,22,round_22_mimo.log,4096,32686,48,BN128-split,5441.0,5458.6,5465.0,453.5,323.0
baseline,22,round_22_mimo.log,8192,65538,48,BN128-split,10203.0,10223.5,10234.0,485.0,245.0
baseline,23,round_23_mimo.log,8,64,39,BN256-standard,498.9,494.5,499.5,9.7,1663.0
baseline,23,round_23_mimo.log,16,118,45,BN256-standard,627.8,616.2,629.2,14.2,1526.0
baseline,23,round_23_mimo.log,32,241,48,BN256-standard,569.8,564.7,569.8,31.9,1798.0
baseline,23,round_23_mimo.log,64,546,48,BN256-standard,550.9,544.6,550.9,74.8,1872.0
baseline,23,round_23_mimo.log,128,984,48,BN256-standard,570.2,562.7,571.5,130.3,1826.0
baseline,23,round_23_mimo.log,256,2037,48,BN256-standard,553.3,552.0,556.4,278.0,1925.0
baseline,23,round_23_mimo.log,512,4097,48,BN256-standard,1026.0,1027.9,1035.0,301.5,1083.0
baseline,23,round_23_mimo.log,1024,8140,48,BN256-standard,1548.0,1545.4,1552.0,397.0,777.0
baseline,23,round_23_mimo.log,2048,16409,48,BN128-split,2871.0,2867.9,2875.0,431.5,484.0
baseline,23,round_23_mimo.log,4096,32686,48,BN128-split,5464.0,5458.4,5464.0,451.6,321.0
baseline,23,round_23_mimo.log,8192,65538,48,BN128-split,10164.0,10163.8,10168.0,486.8,246.0
baseline,24,round_24_mimo.log,8,64,39,BN256-standard,492.7,493.8,496.9,9.8,1684.0
